phase_tag,alpha_deg,surface,x_c,Cp
mean_up,12.0,upper,1.0,0.6853
mean_up,12.0,upper,0.9998,0.6897
mean_up,12.0,upper,0.9992,0.7017
mean_up,12.0,upper,0.9982,0.7216
mean_up,12.0,upper,0.9969,0.7402
mean_up,12.0,upper,0.9951,0.7604
mean_up,12.0,upper,0.993,0.7851
mean_up,12.0,upper,0.9905,0.8142
mean_up,12.0,upper,0.9876,0.8173
mean_up,12.0,upper,0.9843,0.823
mean_up,12.0,upper,0.9806,0.819
mean_up,12.0,upper,0.9765,0.8128
mean_up,12.0,upper,0.9721,0.8083
mean_up,12.0,upper,0.9673,0.7809
mean_up,12.0,upper,0.9621,0.744
mean_up,12.0,upper,0.9565,0.7045
mean_up,12.0,upper,0.9506,0.6626
mean_up,12.0,upper,0.9442,0.619
mean_up,12.0,upper,0.9375,0.5746
mean_up,12.0,upper,0.9305,0.5304
mean_up,12.0,upper,0.9231,0.489
mean_up,12.0,upper,0.9153,0.4552
mean_up,12.0,upper,0.9072,0.4262
mean_up,12.0,upper,0.8987,0.3826
mean_up,12.0,upper,0.8898,0.338
mean_up,12.0,upper,0.8806,0.2928
mean_up,12.0,upper,0.8711,0.2467
mean_up,12.0,upper,0.8612,0.2013
mean_up,12.0,upper,0.851,0.1645
mean_up,12.0,upper,0.8404,0.1316
mean_up,12.0,upper,0.8295,0.0883
mean_up,12.0,upper,0.8183,0.0441
mean_up,12.0,upper,0.8068,-0.0008
mean_up,12.0,upper,0.7949,-0.0486
mean_up,12.0,upper,0.7828,-0.0854
mean_up,12.0,upper,0.7703,-0.1205
mean_up,12.0,upper,0.7575,-0.1636
mean_up,12.0,upper,0.7444,-0.2046
mean_up,12.0,upper,0.7311,-0.2491
mean_up,12.0,upper,0.7174,-0.2963
mean_up,12.0,upper,0.7034,-0.3381
mean_up,12.0,upper,0.6892,-0.3704
mean_up,12.0,upper,0.6747,-0.4136
mean_up,12.0,upper,0.6599,-0.4581
mean_up,12.0,upper,0.6449,-0.5034
mean_up,12.0,upper,0.6296,-0.5472
mean_up,12.0,upper,0.6141,-0.5832
mean_up,12.0,upper,0.5983,-0.6142
mean_up,12.0,upper,0.5823,-0.6547
mean_up,12.0,upper,0.566,-0.6931
mean_up,12.0,upper,0.5495,-0.734
mean_up,12.0,upper,0.5328,-0.7853
mean_up,12.0,upper,0.5159,-0.8242
mean_up,12.0,upper,0.4987,-0.8481
mean_up,12.0,upper,0.4814,-0.8848
mean_up,12.0,upper,0.4639,-0.9342
mean_up,12.0,upper,0.4461,-0.9668
mean_up,12.0,upper,0.4282,-1.0122
mean_up,12.0,upper,0.4101,-1.055
mean_up,12.0,upper,0.3919,-1.0862
mean_up,12.0,upper,0.3735,-1.1376
mean_up,12.0,upper,0.3549,-1.1635
mean_up,12.0,upper,0.3362,-1.2148
mean_up,12.0,upper,0.3174,-1.2416
mean_up,12.0,upper,0.2984,-1.2924
mean_up,12.0,upper,0.2793,-1.3252
mean_up,12.0,upper,0.2601,-1.3734
mean_up,12.0,upper,0.2408,-1.4211
mean_up,12.0,upper,0.2214,-1.4571
mean_up,12.0,upper,0.2019,-1.5157
mean_up,12.0,upper,0.1823,-1.5528
mean_up,12.0,upper,0.1627,-1.6076
mean_up,12.0,upper,0.1431,-1.6744
mean_up,12.0,upper,0.1234,-1.7348
mean_up,12.0,upper,0.1038,-1.815
mean_up,12.0,upper,0.0842,-1.9094
mean_up,12.0,upper,0.0647,-2.0057
mean_up,12.0,upper,0.0455,-2.1304
mean_up,12.0,upper,0.0268,-2.2146
mean_up,12.0,upper,0.0097,-1.9427
mean_up,12.0,upper,0.0,-0.521
mean_up,12.0,lower,0.0097,0.6073
mean_up,12.0,lower,0.0268,0.7121
mean_up,12.0,lower,0.0455,0.6369
mean_up,12.0,lower,0.0647,0.5593
mean_up,12.0,lower,0.0842,0.4931
mean_up,12.0,lower,0.1038,0.4564
mean_up,12.0,lower,0.1234,0.4072
mean_up,12.0,lower,0.1431,0.3978
mean_up,12.0,lower,0.1627,0.3822
mean_up,12.0,lower,0.1823,0.3578
mean_up,12.0,lower,0.2019,0.3529
mean_up,12.0,lower,0.2214,0.3409
mean_up,12.0,lower,0.2408,0.3363
mean_up,12.0,lower,0.2601,0.339
mean_up,12.0,lower,0.2793,0.3322
mean_up,12.0,lower,0.2984,0.3389
mean_up,12.0,lower,0.3174,0.3312
mean_up,12.0,lower,0.3362,0.337
mean_up,12.0,lower,0.3549,0.3286
mean_up,12.0,lower,0.3735,0.335
mean_up,12.0,lower,0.3919,0.3263
mean_up,12.0,lower,0.4101,0.3331
mean_up,12.0,lower,0.4282,0.328
mean_up,12.0,lower,0.4461,0.3289
mean_up,12.0,lower,0.4639,0.3323
mean_up,12.0,lower,0.4814,0.3262
mean_up,12.0,lower,0.4987,0.3227
mean_up,12.0,lower,0.5159,0.3143
mean_up,12.0,lower,0.5328,0.3032
mean_up,12.0,lower,0.5495,0.2936
mean_up,12.0,lower,0.566,0.2903
mean_up,12.0,lower,0.5823,0.2869
mean_up,12.0,lower,0.5983,0.2806
mean_up,12.0,lower,0.6141,0.265
mean_up,12.0,lower,0.6296,0.2495
mean_up,12.0,lower,0.6449,0.2367
mean_up,12.0,lower,0.6599,0.2249
mean_up,12.0,lower,0.6747,0.2128
mean_up,12.0,lower,0.6892,0.1992
mean_up,12.0,lower,0.7034,0.1763
mean_up,12.0,lower,0.7174,0.154
mean_up,12.0,lower,0.7311,0.1338
mean_up,12.0,lower,0.7444,0.1165
mean_up,12.0,lower,0.7575,0.1008
mean_up,12.0,lower,0.7703,0.0806
mean_up,12.0,lower,0.7828,0.0456
mean_up,12.0,lower,0.7949,0.0233
mean_up,12.0,lower,0.8068,-0.002
mean_up,12.0,lower,0.8183,-0.0249
mean_up,12.0,lower,0.8295,-0.0495
mean_up,12.0,lower,0.8404,-0.0758
mean_up,12.0,lower,0.851,-0.116
mean_up,12.0,lower,0.8612,-0.1493
mean_up,12.0,lower,0.8711,-0.1812
mean_up,12.0,lower,0.8806,-0.212
mean_up,12.0,lower,0.8898,-0.2432
mean_up,12.0,lower,0.8987,-0.277
mean_up,12.0,lower,0.9072,-0.3135
mean_up,12.0,lower,0.9153,-0.366
mean_up,12.0,lower,0.9231,-0.4167
mean_up,12.0,lower,0.9305,-0.4621
mean_up,12.0,lower,0.9375,-0.5071
mean_up,12.0,lower,0.9442,-0.5543
mean_up,12.0,lower,0.9506,-0.6048
mean_up,12.0,lower,0.9565,-0.6589
mean_up,12.0,lower,0.9621,-0.7162
mean_up,12.0,lower,0.9673,-0.7771
mean_up,12.0,lower,0.9721,-0.8442
mean_up,12.0,lower,0.9765,-0.9222
mean_up,12.0,lower,0.9806,-0.9884
mean_up,12.0,lower,0.9843,-1.04
mean_up,12.0,lower,0.9876,-1.0772
mean_up,12.0,lower,0.9905,-1.1109
mean_up,12.0,lower,0.993,-1.0928
mean_up,12.0,lower,0.9951,-1.0765
mean_up,12.0,lower,0.9969,-1.0626
mean_up,12.0,lower,0.9982,-1.0426
mean_up,12.0,lower,0.9992,-1.0077
mean_up,12.0,lower,0.9998,-0.9863
mean_up,12.0,lower,1.0,-0.9784
pre_stall_up,17.61,upper,1.0,0.4813
pre_stall_up,17.61,upper,0.9998,0.4875
pre_stall_up,17.61,upper,0.9992,0.5043
pre_stall_up,17.61,upper,0.9982,0.5323
pre_stall_up,17.61,upper,0.9969,0.5669
pre_stall_up,17.61,upper,0.9951,0.6094
pre_stall_up,17.61,upper,0.993,0.6616
pre_stall_up,17.61,upper,0.9905,0.7235
pre_stall_up,17.61,upper,0.9876,0.7568
pre_stall_up,17.61,upper,0.9843,0.7985
pre_stall_up,17.61,upper,0.9806,0.8281
pre_stall_up,17.61,upper,0.9765,0.8604
pre_stall_up,17.61,upper,0.9721,0.9002
pre_stall_up,17.61,upper,0.9673,0.8899
pre_stall_up,17.61,upper,0.9621,0.8577
pre_stall_up,17.61,upper,0.9565,0.8193
pre_stall_up,17.61,upper,0.9506,0.7756
pre_stall_up,17.61,upper,0.9442,0.7279
pre_stall_up,17.61,upper,0.9375,0.6779
pre_stall_up,17.61,upper,0.9305,0.6284
pre_stall_up,17.61,upper,0.9231,0.5852
pre_stall_up,17.61,upper,0.9153,0.559
pre_stall_up,17.61,upper,0.9072,0.5413
pre_stall_up,17.61,upper,0.8987,0.4878
pre_stall_up,17.61,upper,0.8898,0.4325
pre_stall_up,17.61,upper,0.8806,0.3762
pre_stall_up,17.61,upper,0.8711,0.319
pre_stall_up,17.61,upper,0.8612,0.265
pre_stall_up,17.61,upper,0.851,0.2279
pre_stall_up,17.61,upper,0.8404,0.2005
pre_stall_up,17.61,upper,0.8295,0.1484
pre_stall_up,17.61,upper,0.8183,0.0949
pre_stall_up,17.61,upper,0.8068,0.0406
pre_stall_up,17.61,upper,0.7949,-0.017
pre_stall_up,17.61,upper,0.7828,-0.0558
pre_stall_up,17.61,upper,0.7703,-0.0864
pre_stall_up,17.61,upper,0.7575,-0.1366
pre_stall_up,17.61,upper,0.7444,-0.1845
pre_stall_up,17.61,upper,0.7311,-0.2374
